created_at,id,temperature,humidity,sht31_temp,sht31_hum,pm25,year,month
2024-01-01 00:00:00,1,26.38,78.93,,12.5,29.0,2024.0,1
2024-01-01 01:00:00,2,26.31,78.48,,10.69,87.2,2024.0,1
2024-01-01 02:00:00,3,26.21,77.97,,9.5,,2024.0,1
2024-01-01 03:00:00,4,25.96,77.64,,9.38,98.8,2024.0,1
2024-01-01 04:00:00,5,25.85,77.9,,9.94,101.93,2024.0,1
2024-01-01 05:00:00,6,25.55,78.1,,9.07,92.13,2024.0,1
2024-01-01 06:00:00,7,27.28,75.18,,8.71,116.07,2024.0,1
2024-01-01 07:00:00,8,30.01,66.98,,9.32,,2024.0,1
2024-01-01 08:00:00,9,36.53,47.4,,7.56,98.4,2024.0,1
2024-01-01 09:00:00,10,38.15,38.17,,6.59,73.0,2024.0,1
2024-01-01 10:00:00,11,37.82,36.97,,7.45,30.53,2024.0,1
2024-01-01 11:00:00,12,36.69,42.22,,7.25,22.87,2024.0,1
2024-01-01 12:00:00,13,37.98,37.15,,8.62,21.93,2024.0,1
2024-01-01 13:00:00,14,39.89,33.19,,7.86,23.0,2024.0,1
2024-01-01 14:00:00,15,39.43,36.48,,8.22,27.87,2024.0,1
2024-01-01 15:00:00,16,36.61,48.46,,8.24,41.43,2024.0,1
2024-01-01 16:00:00,17,32.49,62.58,,7.89,45.8,2024.0,1
2024-01-01 17:00:00,18,29.4,70.77,,8.0,68.2,2024.0,1
2024-01-01 18:00:00,19,27.59,77.22,,7.64,68.0,2024.0,1
2024-01-01 19:00:00,20,27.66,77.19,,9.58,53.27,2024.0,1
2024-01-01 20:00:00,21,27.6,78.28,,9.22,57.3,2024.0,1
2024-01-01 21:00:00,22,27.96,77.04,,9.62,74.23,2024.0,1
2024-01-01 22:00:00,23,27.97,77.4,,11.09,71.5,2024.0,1
2024-01-01 23:00:00,24,27.91,77.9,,10.44,73.2,2024.0,1
2024-01-02 00:00:00,25,27.82,78.09,,12.07,71.5,2024.0,1
2024-01-02 01:00:00,26,27.68,78.55,,13.75,65.94,2024.0,1
2024-01-02 02:00:00,27,27.26,79.48,,9.54,65.8,2024.0,1
2024-01-02 03:00:00,28,27.31,79.03,,9.06,66.87,2024.0,1
2024-01-02 04:00:00,29,27.45,78.97,,11.53,67.0,2024.0,1
2024-01-02 05:00:00,30,27.51,78.52,,10.84,67.0,2024.0,1
2024-01-02 06:00:00,31,27.43,78.67,,11.32,86.73,2024.0,1
2024-01-02 07:00:00,32,29.03,72.95,,9.78,91.0,2024.0,1
2024-01-02 08:00:00,33,28.73,72.59,,9.1,103.87,2024.0,1
