created_at,id,temperature,humidity,sht31_temp,sht31_hum,pm25,year,month
2024-01-01 00:00:00,1,22.4,96.22,,,31.17,2024.0,1
2024-01-01 01:00:00,2,22.48,94.71,,,19.7,2024.0,1
2024-01-01 02:00:00,3,21.94,96.98,,,32.68,2024.0,1
2024-01-01 03:00:00,4,21.75,96.47,,,26.13,2024.0,1
2024-01-01 04:00:00,5,21.56,97.31,,,25.1,2024.0,1
2024-01-01 05:00:00,6,21.69,96.56,,,23.63,2024.0,1
2024-01-01 06:00:00,7,22.63,96.11,,,29.52,2024.0,1
2024-01-01 07:00:00,8,24.12,91.44,,,34.93,2024.0,1
2024-01-01 08:00:00,9,27.14,79.97,,,27.43,2024.0,1
2024-01-01 09:00:00,10,28.46,73.34,,,10.87,2024.0,1
2024-01-01 10:00:00,11,29.94,65.68,,,3.97,2024.0,1
2024-01-01 11:00:00,12,29.1,67.28,,,3.07,2024.0,1
2024-01-01 12:00:00,13,,62.59,,,3.03,2024.0,1
2024-01-01 13:00:00,14,,58.03,,,1.43,2024.0,1
2024-01-01 14:00:00,15,,61.08,,,3.5,2024.0,1
2024-01-01 15:00:00,16,28.68,73.51,,,8.53,2024.0,1
2024-01-01 16:00:00,17,26.76,81.22,,,8.33,2024.0,1
2024-01-01 17:00:00,18,25.25,85.48,,,13.57,2024.0,1
2024-01-01 18:00:00,19,23.11,93.42,,,8.0,2024.0,1
2024-01-01 19:00:00,20,23.17,93.77,,,9.37,2024.0,1
2024-01-01 20:00:00,21,23.3,93.97,,,13.2,2024.0,1
2024-01-01 21:00:00,22,23.54,93.79,,,18.37,2024.0,1
2024-01-01 22:00:00,23,23.47,93.81,,,16.74,2024.0,1
2024-01-01 23:00:00,24,23.33,94.76,,,11.03,2024.0,1
2024-01-02 00:00:00,25,23.76,94.37,,,15.63,2024.0,1
2024-01-02 01:00:00,26,23.77,94.93,,,17.47,2024.0,1
2024-01-02 02:00:00,27,23.34,97.18,,,15.87,2024.0,1
2024-01-02 03:00:00,28,23.37,96.39,,,16.67,2024.0,1
2024-01-02 04:00:00,29,23.38,96.81,,,18.41,2024.0,1
2024-01-02 05:00:00,30,23.16,97.59,,,22.9,2024.0,1
2024-01-02 06:00:00,31,23.42,97.12,,,23.2,2024.0,1
2024-01-02 07:00:00,32,24.03,94.6,,,25.67,2024.0,1
2024-01-02 08:00:00,33,25.41,88.79,,,21.97,2024.0,1
2024-01-02 09:00:00,34,27.11,81.84,,,17.77,2024.0,1
2024-01-02 10:00:00,35,27.88,77.19,,,14.27,2024.0,1
2024-01-02 11:00:00,36,,66.59,,,10.57,2024.0,1
2024-01-02 12:00:00,37,,62.57,,,6.66,2024.0,1
2024-01-02 13:00:00,38,,61.99,,,5.9,2024.0,1
2024-01-02 14:00:00,39,,63.44,,,5.37,2024.0,1
2024-01-02 15:00:00,40,29.85,68.0,,,3.7,2024.0,1
2024-01-02 16:00:00,41,29.34,70.85,,,3.63,2024.0,1
2024-01-02 17:00:00,42,27.93,74.55,,,6.0,2024.0,1
2024-01-02 18:00:00,43,25.82,85.43,,,17.97,2024.0,1
2024-01-02 19:00:00,44,25.01,90.8,,,25.5,2024.0,1
2024-01-02 20:00:00,45,24.7,89.85,,,24.03,2024.0,1
2024-01-02 21:00:00,46,24.27,91.45,,,28.63,2024.0,1
2024-01-02 22:00:00,47,24.16,91.01,,,26.2,2024.0,1
2024-01-02 23:00:00,48,24.03,90.13,,,20.43,2024.0,1
2024-01-03 00:00:00,49,23.36,95.3,,,23.52,2024.0,1
2024-01-03 01:00:00,50,22.97,92.58,,,8.27,2024.0,1
2024-01-03 02:00:00,51,22.99,91.18,,,7.3,2024.0,1
2024-01-03 03:00:00,52,23.26,88.59,,,8.0,2024.0,1
2024-01-03 04:00:00,53,23.42,89.59,,,11.1,2024.0,1
2024-01-03 05:00:00,54,23.33,91.67,,,9.83,2024.0,1
2024-01-03 06:00:00,55,23.19,94.74,,,12.13,2024.0,1
2024-01-03 07:00:00,56,23.42,94.65,,,16.63,2024.0,1
2024-01-03 08:00:00,57,24.11,89.67,,,7.55,2024.0,1
2024-01-03 09:00:00,58,24.49,86.73,,,5.83,2024.0,1
2024-01-03 10:00:00,59,25.89,82.3,,,7.37,2024.0,1
2024-01-03 11:00:00,60,26.82,78.96,,,6.31,2024.0,1
2024-01-03 12:00:00,61,27.32,75.52,,,5.1,2024.0,1
2024-01-03 13:00:00,62,27.53,76.1,,,5.7,2024.0,1
2024-01-03 14:00:00,63,26.55,79.57,,,6.33,2024.0,1
2024-01-03 15:00:00,64,25.14,86.15,,,7.83,2024.0,1
2024-01-03 16:00:00,65,25.67,84.07,,,9.59,2024.0,1
2024-01-03 17:00:00,66,25.81,83.32,,,9.43,2024.0,1
2024-01-03 18:00:00,67,25.79,83.88,,,9.77,2024.0,1
2024-01-03 19:00:00,68,26.03,84.44,,,13.9,2024.0,1
2024-01-03 20:00:00,69,25.82,85.46,,,15.07,2024.0,1
2024-01-03 21:00:00,70,25.36,88.13,,,24.07,2024.0,1
2024-01-03 22:00:00,71,24.51,92.48,,,32.4,2024.0,1
2024-01-03 23:00:00,72,24.06,92.21,,,27.93,2024.0,1
2024-01-04 00:00:00,73,24.08,93.13,,,26.67,2024.0,1
2024-01-04 01:00:00,74,23.97,93.21,,,30.69,2024.0,1
2024-01-04 02:00:00,75,23.74,94.25,,,32.23,2024.0,1
2024-01-04 03:00:00,76,23.67,94.51,,,32.23,2024.0,1
2024-01-04 04:00:00,77,23.3,94.16,,,29.37,2024.0,1
2024-01-04 05:00:00,78,23.48,93.36,,,22.0,2024.0,1
