timestamp,predicted_pm25,ispu_value,ews_category,ews_action
2025-12-31 00:00:00,41.28,83,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 01:00:00,41.7,83,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 02:00:00,43.41,85,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 03:00:00,44.85,87,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 04:00:00,50.34,94,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 05:00:00,54.13,98,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 06:00:00,58.28,104,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2025-12-31 07:00:00,58.97,105,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2025-12-31 08:00:00,56.4,102,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2025-12-31 09:00:00,48.21,91,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 10:00:00,40.36,82,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 11:00:00,35.7,76,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 12:00:00,34.65,75,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 13:00:00,35.37,75,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 14:00:00,37.79,78,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 15:00:00,39.8,81,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 16:00:00,41.75,83,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 17:00:00,42.82,85,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 18:00:00,46.04,88,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 19:00:00,47.18,90,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 20:00:00,49.45,93,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 21:00:00,50.11,94,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 22:00:00,51.07,95,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2025-12-31 23:00:00,50.46,94,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
